date,request,Lended_Amount,Repaid_Amount,Locked_Amount
2021-03-03,159,230086.69,49295.53199999999,180791.158
2021-03-04,312,504511.7000000001,179725.208,324786.4920000001
2021-03-05,246,405548.7299999996,160512.32600000003,245036.40399999954
2021-03-06,166,271421.82999999996,101713.209,169708.62099999996
2021-03-07,123,224099.31999999992,59173.945999999996,164925.37399999992
2021-03-08,285,517810.45999999985,176233.395,341577.0649999998
2021-03-09,261,443772.1200000002,163525.18000000002,280246.9400000002
2021-03-10,247,406899.3000000002,150753.77200000003,256145.5280000002
2021-03-11,250,398498.4999999999,138393.21600000001,260105.28399999987
2021-03-12,223,371222.13,175896.17500000002,195325.955
2021-03-13,130,194083.33,44435.43,149647.9
2021-03-14,76,106164.95999999996,21409.622000000003,84755.33799999996
2021-03-15,277,450197.7000000002,189771.244,260426.45600000018
2021-03-16,302,600169.3600000003,137948.72,462220.64000000036
2021-03-17,298,608408.0699999997,163217.43100000004,445190.6389999997
2021-03-18,275,542128.8499999997,137120.56800000003,405008.2819999997
2021-03-19,286,482912.10000000003,166902.151,316009.949
2021-03-20,178,310039.9699999999,81171.571,228868.39899999992
2021-03-21,99,209193.80999999997,32607.965,176585.84499999997
2021-03-22,307,550090.3900000006,146005.704,404084.68600000057
2021-03-23,311,607637.08,159344.198,448292.882
2021-03-24,280,531044.16,142381.77199999997,388662.38800000004
2021-03-25,258,471603.4099999997,127660.98800000003,343942.4219999997
2021-03-26,255,460669.87999999995,167242.413,293427.46699999995
2021-03-27,142,253685.33000000002,85588.46399999999,168096.86600000004
2021-03-28,101,167715.42,31935.397,135780.02300000002
2021-03-29,279,450286.7400000004,117700.102,332586.6380000004
2021-03-30,242,442147.25,140599.446,301547.804
2021-03-31,223,397108.03,157021.644,240086.38600000003
2021-04-01,203,335561.36999999994,121773.10600000003,213788.2639999999
2021-04-02,218,381117.8300000002,130721.708,250396.1220000002
2021-04-03,124,213718.17000000004,61410.414000000004,152307.75600000005
2021-04-04,72,120396.19,42249.35,78146.84
2021-04-05,255,489234.24,154396.43699999998,334837.803
2021-04-06,239,393063.03999999975,113375.769,279687.2709999997
2021-04-07,231,408330.1199999999,115456.99100000001,292873.12899999984
