Date,Good,Bad,Good_rate,Bad_rate
2021-06-06,114,1,0.991304347826087,0.008695652173913044
2021-06-07,273,10,0.9646643109540636,0.0353356890459364
2021-06-08,258,11,0.9591078066914498,0.040892193308550186
2021-06-09,272,14,0.951048951048951,0.04895104895104895
2021-06-10,253,4,0.9844357976653697,0.01556420233463035
2021-06-11,259,11,0.9592592592592593,0.040740740740740744
2021-06-12,168,6,0.9655172413793104,0.034482758620689655
2021-06-13,107,1,0.9907407407407407,0.009259259259259259
2021-06-14,269,13,0.9539007092198581,0.04609929078014184
2021-06-15,252,7,0.972972972972973,0.02702702702702703
2021-06-16,244,5,0.9799196787148594,0.020080321285140562
2021-06-17,205,9,0.9579439252336449,0.04205607476635514
2021-06-18,265,11,0.9601449275362319,0.03985507246376811
2021-06-19,162,6,0.9642857142857143,0.03571428571428571
2021-06-20,116,1,0.9914529914529915,0.008547008547008548
2021-06-21,296,6,0.9801324503311258,0.019867549668874173
2021-06-22,209,15,0.9330357142857143,0.06696428571428571
2021-06-23,237,16,0.9367588932806324,0.06324110671936758
2021-06-24,213,7,0.9681818181818181,0.031818181818181815
2021-06-25,243,9,0.9642857142857143,0.03571428571428571
2021-06-26,136,4,0.9714285714285714,0.02857142857142857
2021-06-27,111,1,0.9910714285714286,0.008928571428571428
2021-06-28,313,11,0.9660493827160493,0.033950617283950615
2021-06-29,296,11,0.9641693811074918,0.035830618892508145
2021-06-30,251,12,0.9543726235741445,0.045627376425855515
2021-07-01,219,14,0.9399141630901288,0.060085836909871244
2021-07-02,241,6,0.9757085020242915,0.024291497975708502
2021-07-03,127,5,0.9621212121212122,0.03787878787878788
2021-07-04,90,5,0.9473684210526315,0.05263157894736842
2021-07-05,245,9,0.9645669291338582,0.03543307086614173
2021-07-06,233,4,0.9831223628691983,0.016877637130801686
2021-07-07,220,10,0.9565217391304348,0.043478260869565216
2021-07-08,249,14,0.9467680608365019,0.053231939163498096
2021-07-09,229,8,0.9662447257383966,0.03375527426160337
2021-07-10,147,2,0.9865771812080537,0.013422818791946308
2021-07-11,93,2,0.9789473684210527,0.021052631578947368
2021-07-12,250,10,0.9615384615384616,0.038461538461538464
2021-07-13,287,4,0.9862542955326461,0.013745704467353952
2021-07-14,226,7,0.9699570815450643,0.030042918454935622
2021-07-15,239,13,0.9484126984126984,0.051587301587301584
2021-07-16,238,10,0.9596774193548387,0.04032258064516129
2021-07-17,152,3,0.9806451612903225,0.01935483870967742
2021-07-18,109,5,0.956140350877193,0.043859649122807015
2021-07-19,276,8,0.971830985915493,0.028169014084507043
2021-07-20,256,7,0.973384030418251,0.026615969581749048
2021-07-21,255,7,0.9732824427480916,0.026717557251908396
2021-07-22,283,9,0.9691780821917808,0.030821917808219176
2021-07-23,271,6,0.9783393501805054,0.021660649819494584
2021-07-24,139,6,0.9586206896551724,0.041379310344827586
2021-07-25,110,0,1,0
2021-07-26,333,10,0.9708454810495627,0.029154518950437316
2021-07-27,263,14,0.9494584837545126,0.05054151624548736
2021-07-28,244,13,0.9494163424124513,0.05058365758754864
2021-07-29,286,13,0.9565217391304348,0.043478260869565216
2021-07-30,254,4,0.9844961240310077,0.015503875968992248
2021-07-31,165,7,0.9593023255813954,0.040697674418604654
2021-08-01,103,2,0.9809523809523809,0.01904761904761905
2021-08-02,276,10,0.965034965034965,0.03496503496503497
2021-08-03,250,8,0.9689922480620154,0.031007751937984496
2021-08-04,222,12,0.9487179487179487,0.05128205128205128
