date,Reject_rate,Accept_rate,Contract_rate,Refinancing_rate,New_Contract_rate,NTU_rate
2021-01-01,0.6363636363636364,0.36363636363636365,0,0.36363636363636365,0,0.36363636363636365
2021-01-02,0.5922330097087378,0.4077669902912621,0.32038834951456313,0.08737864077669903,0.32038834951456313,0.08737864077669903
2021-01-03,0.5454545454545454,0.45454545454545453,0.35064935064935066,0.1038961038961039,0.35064935064935066,0.1038961038961039
2021-01-04,0.4244604316546763,0.5755395683453237,0.46402877697841727,0.11151079136690648,0.46402877697841727,0.11151079136690648
2021-01-05,0.3842364532019704,0.6157635467980296,0.5172413793103449,0.09852216748768473,0.5172413793103449,0.09852216748768473
2021-01-06,0.425,0.575,0.45,0.125,0.45,0.125
2021-01-07,0.4396135265700483,0.5603864734299517,0.4830917874396135,0.07729468599033816,0.4830917874396135,0.07729468599033816
2021-01-08,0.40789473684210525,0.5921052631578947,0.5328947368421053,0.05921052631578947,0.5328947368421053,0.05921052631578947
2021-01-09,0.4166666666666667,0.5833333333333334,0.5104166666666666,0.07291666666666667,0.5104166666666666,0.07291666666666667
2021-01-10,0.5074626865671642,0.4925373134328358,0.3582089552238806,0.13432835820895522,0.3582089552238806,0.13432835820895522
2021-01-11,0.5069767441860465,0.4930232558139535,0.386046511627907,0.10697674418604651,0.386046511627907,0.10697674418604651
2021-01-12,0.4489795918367347,0.5510204081632653,0.42857142857142855,0.12244897959183673,0.42857142857142855,0.12244897959183673
2021-01-13,0.4954128440366973,0.5045871559633027,0.40825688073394495,0.0963302752293578,0.40825688073394495,0.0963302752293578
2021-01-14,0.42473118279569894,0.5752688172043011,0.43010752688172044,0.14516129032258066,0.43010752688172044,0.14516129032258066
2021-01-15,0.4723926380368098,0.5276073619631901,0.44785276073619634,0.07975460122699386,0.44785276073619634,0.07975460122699386
2021-01-16,0.46464646464646464,0.5353535353535354,0.41414141414141414,0.12121212121212122,0.41414141414141414,0.12121212121212122
2021-01-17,0.5802469135802469,0.41975308641975306,0.2839506172839506,0.13580246913580246,0.2839506172839506,0.13580246913580246
2021-01-18,0.5263157894736842,0.47368421052631576,0.4019138755980861,0.07177033492822966,0.4019138755980861,0.07177033492822966
2021-01-19,0.5214285714285715,0.4785714285714286,0.37142857142857144,0.10714285714285714,0.37142857142857144,0.10714285714285714
2021-01-20,0.3755868544600939,0.6244131455399061,0.5492957746478874,0.07511737089201878,0.5492957746478874,0.07511737089201878
2021-01-21,0.4365482233502538,0.5634517766497462,0.49746192893401014,0.06598984771573604,0.49746192893401014,0.06598984771573604
2021-01-22,0.4642857142857143,0.5357142857142857,0.4336734693877551,0.10204081632653061,0.4336734693877551,0.10204081632653061
2021-01-23,0.4827586206896552,0.5172413793103449,0.4367816091954023,0.08045977011494253,0.4367816091954023,0.08045977011494253
2021-01-24,0.5194805194805194,0.4805194805194805,0.44155844155844154,0.03896103896103896,0.44155844155844154,0.03896103896103896
2021-01-25,0.42424242424242425,0.5757575757575758,0.47619047619047616,0.09956709956709957,0.47619047619047616,0.09956709956709957
2021-01-26,0.48292682926829267,0.5170731707317073,0.3951219512195122,0.12195121951219512,0.3951219512195122,0.12195121951219512
2021-01-27,0.4666666666666667,0.5333333333333333,0.4523809523809524,0.08095238095238096,0.4523809523809524,0.08095238095238096
2021-01-28,0.46078431372549017,0.5392156862745098,0.46568627450980393,0.07352941176470588,0.46568627450980393,0.07352941176470588
2021-01-29,0.37575757575757573,0.6242424242424243,0.5333333333333333,0.09090909090909091,0.5333333333333333,0.09090909090909091
2021-01-30,0.4296875,0.5703125,0.4921875,0.078125,0.4921875,0.078125
2021-01-31,0.4942528735632184,0.5057471264367817,0.41379310344827586,0.09195402298850575,0.41379310344827586,0.09195402298850575
2021-02-01,0.5339805825242718,0.46601941747572817,0.3932038834951456,0.07281553398058252,0.3932038834951456,0.07281553398058252
2021-02-02,0.6423357664233577,0.35766423357664234,0.291970802919708,0.06569343065693431,0.291970802919708,0.06569343065693431
2021-02-03,0.554945054945055,0.44505494505494503,0.36813186813186816,0.07692307692307693,0.36813186813186816,0.07692307692307693
2021-02-04,0.5867158671586716,0.4132841328413284,0.3247232472324723,0.08856088560885608,0.3247232472324723,0.08856088560885608
2021-02-05,0.45901639344262296,0.5409836065573771,0.4644808743169399,0.07650273224043716,0.4644808743169399,0.07650273224043716
2021-02-06,0.5794392523364486,0.4205607476635514,0.3364485981308411,0.08411214953271028,0.3364485981308411,0.08411214953271028
2021-02-07,0.6142857142857143,0.38571428571428573,0.32857142857142857,0.05714285714285714,0.32857142857142857,0.05714285714285714
2021-02-08,0.4698275862068966,0.5301724137931034,0.4396551724137931,0.09051724137931035,0.4396551724137931,0.09051724137931035
2021-02-09,0.506896551724138,0.49310344827586206,0.41724137931034483,0.07586206896551724,0.41724137931034483,0.07586206896551724
2021-02-10,0.502127659574468,0.4978723404255319,0.4127659574468085,0.0851063829787234,0.4127659574468085,0.0851063829787234
2021-02-11,0.46153846153846156,0.5384615384615384,0.44505494505494503,0.09340659340659341,0.44505494505494503,0.09340659340659341
2021-02-12,0.5984848484848485,0.4015151515151515,0.3446969696969697,0.056818181818181816,0.3446969696969697,0.056818181818181816
2021-02-13,0.5304347826086957,0.46956521739130436,0.34782608695652173,0.12173913043478261,0.34782608695652173,0.12173913043478261
2021-02-14,0.5681818181818182,0.4318181818181818,0.3068181818181818,0.125,0.3068181818181818,0.125
2021-02-15,0.45041322314049587,0.5495867768595041,0.4628099173553719,0.08677685950413223,0.4628099173553719,0.08677685950413223
